x,y,HAADF Intensity,SEEBIC Intensity,frame,atom_id,k-means labels,Type,Scaled SEEBIC Intensity
123.90625,300.46875,0.06400208314880729,-1.8848722279071808,0,279,0,W,-0.04321515933419784
143.5,299.0,0.05420197104103863,-1.6241718530654907,0,280,1,Se-Se,0.21748521550749222
365.4848484848485,301.3939393939394,0.06766415061429143,-2.0605413541197777,0,281,0,W,-0.21888428554679473
385.04347826086956,299.9130434782609,0.04944624286144972,-1.967211477458477,0,282,1,Se-Se,-0.12555440888549407
235.2,303.6,0.04958170955069363,-1.6858459785580635,0,283,1,Se-Se,0.15581109001491944
215.41935483870967,304.5483870967742,0.06526056840084493,-1.7378576397895813,0,284,0,W,0.10379942878340165
477.0,304.17391304347825,0.051237951731309295,-1.9591450914740562,0,285,1,Se-Se,-0.1174880229010733
457.4193548387097,305.5483870967742,0.06138511002063751,-1.9627762138843536,0,286,0,W,-0.12111914531137069
84.34615384615384,307.34615384615387,0.051320462953299284,-1.7344183176755905,0,287,1,Se-Se,0.10723875089739243
327.04,307.96,0.05398226575925946,-1.7331281378865242,0,288,1,Se-Se,0.10852893068645875
65.0,309.5,0.060449361335486174,-2.0703281313180923,0,289,0,W,-0.2286710627451094
306.8181818181818,310.030303030303,0.06427287356927991,-2.1584647744894028,0,290,0,W,-0.3168077059164198
176.0,312.0,0.05133722862228751,-1.7226885855197906,0,291,1,Se-Se,0.1189684830531923
418.3333333333333,312.125,0.05138695612549782,-1.982928529381752,0,292,1,Se-Se,-0.14127146080876907
156.57575757575756,314.24242424242425,0.06610532361082733,-1.9405234530568123,0,293,0,W,-0.09886638448382934
397.85714285714283,314.5,0.06402417179197073,-1.9829914271831512,0,294,0,W,-0.1413343586101683
25.2,315.92,0.05237027327530086,-1.9625768437981606,0,295,1,Se-Se,-0.1209197752251776
267.1666666666667,316.9583333333333,0.050211415626108646,-1.9951627478003502,0,296,1,Se-Se,-0.15350567922736724
247.5,318.5,0.0716521292924881,-1.895532600581646,0,298,0,W,-0.05387553200866302
116.6923076923077,320.5,0.050967123126611114,-1.6332707852125168,0,300,1,Se-Se,0.20838628336046616
97.38235294117646,323.11764705882354,0.06284024124033749,-1.9382937774062157,0,301,0,W,-0.09663670883323272
339.25,323.625,0.0662474266719073,-2.0329744666814804,0,302,0,W,-0.19131739810849746
358.6666666666667,321.875,0.05243965983390808,-1.910589650273323,0,303,1,Se-Se,-0.06893258170034011
208.44,325.08,0.0510860257782042,-1.7415068447589874,0,304,1,Se-Se,0.10015022381399552
450.3448275862069,325.7241379310345,0.05683565768413246,-1.8779009655117989,0,305,1,Se-Se,-0.03624389693881591
189.0,328.0,0.06324391043744981,-1.784266285598278,0,306,0,W,0.0573907829747049
430.625,327.875,0.06283594411797822,-2.232738822698593,0,307,0,W,-0.3910817541256102
57.95652173913044,330.60869565217394,0.051171164494007826,-1.9772264510393143,0,308,1,Se-Se,-0.13556938246633132
